id,limit_bal,sex,education,marriage,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,util_1,pay_ratio_1,util_2,pay_ratio_2,util_3,pay_ratio_3,util_4,pay_ratio_4,util_5,pay_ratio_5,util_6,pay_ratio_6,avg_util,misspay_cnt,target
22789,160000,2,2,2,33,2,2,3,2,0,0,161771,172632,168541,164310,162681,163005,15000,0,0,6100,12300,6100,1.01106875,0.0927236649337644,1.07895,0.0,1.05338125,0.0,1.0269375,0.03712494674700262,1.01675625,0.07560809190993417,1.01878125,0.0374221649642649,1.0343125,4,0
29007,150000,2,1,2,34,1,-1,-1,-2,-2,-2,0,53,0,0,0,0,53,0,0,0,0,0,0.0,53.0,0.0003533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889e-05,1,0
16951,10000,1,2,1,50,1,2,0,0,0,0,10171,8150,8446,8067,8227,8400,2,1281,1134,294,305,1000,1.0171,0.00019663749877101564,0.815,0.15717791411042945,0.8446,0.1342647407056595,0.8067,0.03644477500929714,0.8227,0.037073052145374985,0.84,0.11904761904761904,0.8576833333333332,2,0
22281,220000,2,1,2,29,0,0,0,0,0,0,206879,211037,215139,218513,131660,134346,9100,9000,7887,4800,4900,6000,0.9403590909090909,0.043987064902672575,0.9592590909090909,0.04264655013101968,0.9779045454545454,0.036660019801151814,0.9932409090909091,0.02196665644606957,0.5984545454545455,0.03721707428224214,0.6106636363636364,0.044660801214773796,0.8466469696969697,0,1
11347,310000,2,1,2,32,1,-2,-1,0,0,-2,0,0,326,326,-235,-235,0,326,0,0,0,1200,0.0,0.0,0.0,326.0,0.0010516129032258064,0.0,0.0010516129032258064,0.0,-0.0007580645161290322,-0.0,-0.0007580645161290322,-5.1063829787234045,9.784946236559139e-05,1,0
4103,240000,2,1,2,36,-1,-1,2,0,-1,2,5367,6959,6649,5149,13750,5777,6959,15,0,7013,0,726,0.0223625,1.2966275386621948,0.028995833333333332,0.0021554821094984912,0.027704166666666665,0.0,0.021454166666666667,1.3620120411730434,0.057291666666666664,0.0,0.024070833333333333,0.12567076337199237,0.03031319444444444,2,1
28655,160000,2,3,2,33,-1,2,2,2,2,-2,18195,755,44255,43228,-772,-772,0,43500,0,0,0,3000,0.11371875,0.0,0.00471875,57.615894039735096,0.27659375,0.0,0.270175,0.0,-0.004825,-0.0,-0.004825,-3.8860103626943006,0.109259375,4,0
26151,50000,2,2,1,34,3,3,2,2,2,2,47904,48240,48602,46289,44837,44535,2000,2001,499,2000,2000,1500,0.95808,0.041750167000668005,0.9648,0.041480099502487565,0.97204,0.010267067198880705,0.92578,0.043206809393160364,0.89674,0.04460601735174075,0.8907,0.033681374200067365,0.9346899999999999,6,1
15092,360000,1,1,1,32,0,0,0,0,0,0,120533,124530,128518,134368,135626,134864,6000,6000,8000,4918,5000,3300,0.3348138888888889,0.049778898724830545,0.34591666666666665,0.0481811611659841,0.35699444444444445,0.06224808976174544,0.37324444444444443,0.03660097642295785,0.3767388888888889,0.03686608762331706,0.37462222222222225,0.024469094791790248,0.36038842592592596,0,0
6267,320000,1,2,2,29,0,0,0,0,0,0,324693,321110,325024,322246,297637,301575,11650,12500,11900,10503,10886,10040,1.014665625,0.03588004669025818,1.00346875,0.0389274703372676,1.0157,0.036612680909717435,1.00701875,0.03259311209448682,0.930115625,0.03657475381085013,0.942421875,0.033291884274226975,0.9855651041666667,0,0
